SP,capture_m3d_ADF,capture_m3d_modflow,WellNum
438,180.137,4.893,118
439,417.664,12.233,118
440,482.02299999999997,29.359,118
441,372.801,41.592,118
442,110.155,56.761,118
443,63.378,59.696,118
444,43.015,57.25,118
445,32.035000000000004,57.984,118
446,25.793000000000003,60.675,118
447,21.067,53.58,118
448,17.8,53.825,118
449,15.277,51.867,118
450,87.904,49.176,118
451,184.669,56.516,118
452,210.054,54.314,118
453,163.793,58.962,118
454,54.274,62.143,118
455,34.201,62.388,118
456,25.136000000000003,52.112,118
457,20.035999999999998,55.048,118
458,16.921,53.091,118
459,14.556,55.293,118
460,12.847,50.399,118
461,11.468,47.953,118
462,91.49,50.399,118
463,197.487,50.399,118
464,225.755,57.739,118
465,175.897,57.984,118
466,57.092,59.941,118
467,35.550000000000004,58.473,118
468,25.941000000000003,55.293,118
469,20.604999999999997,53.335,118
470,17.476,58.228,118
471,15.027,50.644,118
472,13.276,48.442,118
473,11.876,48.442,118
474,90.04899999999999,43.696,118
475,193.572,51.036,118
476,221.134,55.684,118
477,172.47400000000002,55.415,118
478,56.354,57.984,118
479,35.294000000000004,60.7,118
480,25.896,58.498,118
481,20.673000000000002,56.027,118
482,17.608,56.002,118
483,15.208,46.069,118
484,13.491,57.984,118
485,12.114999999999998,46.24,118
486,66.69800000000001,46.24,118
487,139.188,43.304,118
488,158.311,51.378,118
489,123.928,53.091,118
490,42.224,45.751,118
491,27.294,47.953,118
492,20.566,55.537,118
493,16.784,48.442,118
494,14.537,45.996,118
495,12.757,41.592,118
496,11.466,36.454,118
497,10.421000000000001,41.592,118
498,145.008,48.858,118
499,322.885,48.442,118
500,370.726,59.696,118
501,288,71.44,118
502,90.15400000000001,77.556,118
503,54.608,80.737,118
504,38.946,73.887,118
505,30.372999999999998,81.716,118
506,25.272000000000002,83.673,118
507,21.497,67.281,118
508,18.831000000000003,71.88,118
509,16.729,67.403,118
510,211.745,67.281,118
511,469.664,75.844,118
512,538.88,85.875,118
513,418.662,104.713,118
514,131.176,115.478,118
515,79.437,117.925,118
516,56.594,117.436,118
517,44.063,107.649,118
518,36.809000000000005,105.447,118
519,31.209,101.288,118
520,27.258,98.597,118
521,24.141,93.215,118
522,123.952,86.119,118
523,256.707,85.875,118
524,291.609,96.15,118
525,228.316,91.502,118
526,78.075,105.937,118
527,50.53,103.49,118
528,38.069,104.469,118
529,31.036,107.16,118
530,26.848,96.64,118
531,23.521,92.725,118
532,21.103,87.416,118
533,19.142,80.223,118
534,91.077,72.663,118
535,186.594,81.495,118
536,211.779,81.275,118
537,166.29399999999998,88.175,118
538,58.318000000000005,90.45,118
539,38.517,86.535,118
540,29.547,88.101,118
541,24.473,80.59,118
542,21.441,80.15,118
543,19.019,77.116,118
544,17.25,72.908,118
545,15.807,68.015,118
546,156.966,69.678,118
547,343.591,74.376,118
548,393.683,84.652,118
549,306.572,95.172,118
550,98.503,107.405,118
